Sample ID,PopulationID,Latitude,Longitude
EAAL_BX1380,population1,32.46535,-85.19981667
EAAL_BX1387,population1,32.08411667,-85.6902
EAAL_BX211,population1,32.43991667,-85.35198333
EAAL_BXEA27,population1,34.4455,-85.7772
EAGA_BX217,population1,32.61336667,-84.8155
EAGA_BX219,population1,32.62686667,-84.99683333
EAGA_BX220,population1,32.56035,-84.90645
EAGA_BX301,population1,32.7381,-84.91503333
EAGA_BX346,population1,32.70741667,-84.95658333
EAGA_BX472,population1,32.30038333,-84.51711667
EAGA_BX473,population1,32.87276667,-85.14345
EAGA_BX660,population1,32.61513333,-84.82163333
EAGA_BXEA14,population1,33.66543333,-84.34671667
EAGA_BXEA15_654,population1,32.8514,-84.84586667
EAGA_BXEA17,population1,32.77946667,-84.87386667
EAGA_BXEA19,population1,32.75861667,-84.90488333
EAGA_BXEA21,population1,32.78586667,-84.95658333
EAGA_BXEA25,population1,32.75298333,-84.90026667
EAGA_BXEA26,population1,32.87843,-85.09274
EAGA_BXEA29_655,population1,32.69498333,-84.95896667
EAGA_BXEA31_659,population1,32.76596667,-84.90823333
EAGA_BXEA32_662,population1,32.66833333,-84.95595
EAGA_BXEA33_663,population1,32.59703333,-84.82658333
EAGA_BXEA34_665,population1,32.8013,-84.92165
EAGA_BXEA35_666,population1,32.84355,-84.93791667
EAGA_BXEA49_564,population1,32.70378333,-84.73573333
EAKY_BX26,population1,37.002884,-84.237532
EAKY_BX27,population1,37.24593056,-83.38156944
EANC_BX316,population1,35.683798,-78.46816208
EANC_BX318,population1,35.683165,-78.46206159
EANY_BXEA11,population1,41.28838611,-73.86584722
EAPA_BXEA13,population1,40.08509,-76.89056
EASC_BX1108,population1,32.32609833,-80.696625
EASC_BX1109,population1,32.34020819,-80.69960833
EASC_BX1110,population1,32.44697,-81.1053
EASC_BX1111,population1,33.43374,-81.28571
EASC_BX1112,population1,32.33927,-80.70055
EASC_BX1114,population1,32.35745,-80.70932
EASC_BX1115,population1,32.31804,-80.68662
EASC_BX1116,population1,32.35092,-80.69596
EASC_BX231,population1,34.452412,-81.86008
EASC_BX232,population1,34.523736,-81.99394
EASC_BXEA40_1304,population1,34.3276,-82.3797
EASC_BXEA41_1305,population1,34.6807,-81.1752
EASC_BXEA42_1306,population1,34.8298,-82.394
EASC_BXEA43_1307,population1,34.3319,-82.3865
EATN_BX35,population1,36.134609,-86.930462
EATN_BXEA02_36x2,population1,36.13018,-86.865103
EAVA_BX103,population1,38.038227,-78.913827
EAVA_BX104,population1,38.038227,-78.913827
EAVA_BX320,population1,36.678678,-76.293688
EAVA_BX321,population1,37.217595,-77.391527
EAWV_BX449,population1,38.54195,-81.32505
GUAL_BX275,population2,31.23948333,-85.12391667
GUAL_BXGU02,population2,30.54772,-88.12377
GUAL_BXGU03,population2,30.53642,-88.12354
GUAL_BXGU04,population2,30.62714,-87.91176
GUAL_BXGU05,population2,30.63558,-87.91246
GUFL_BX503,population2,29.9422,-85.00675
GUFL_BX504,population2,29.79809,-84.83076
GUFL_BX509,population2,30.05882,-84.568848
GUFL_BX626,population2,30.44276667,-85.95831667
GUFL_BX627,population2,30.49321667,-85.93646667
GUFL_BX628,population2,30.42605,-85.11935
GUFL_BX684,population2,30.0581,-85.18976667
GUFL_BX685,population2,29.81986667,-85.28358333
GUFL_BX908,population2,30.74744722,-86.56108056
GUFL_BX909,population2,30.67245,-86.63169444
GUFL_BX910,population2,30.74763611,-86.56109722
GUFL_BX931,population2,30.569413,-87.399084
GUFL_BX933,population2,29.847289,-85.26161
GUFL_BXGU07,population2,30.07847,-85.19425
GUFL_BXGU08,population2,29.99093,-85.16961
GUFL_BXGU10,population2,29.68499,-85.32768
GUFL_BXGU11,population2,30.15787,-85.20927
GUFL_BXGU13,population2,29.69139,-85.25107
GUFL_BXGU25,population2,29.88745,-85.21844
GUFL_BXGU26,population2,29.87311,-85.22971
GUFL_BXGU27,population2,30.50393,-85.11728
GUFL_BXGU28,population2,29.83754,-85.273
GUFL_BXGU29,population2,30.0036,-85.17348
GUFL_BXGU31,population2,30.48936,-86.22976
GUFL_BXGU32,population2,29.7224,-84.98965
GUFL_BXGU33,population2,29.92912,-85.3929
GUFL_BXGU35_AA13,population2,30.37146,-84.68125
GUFL_BXGU36_AA14,population2,30.00487,-84.886
GUFL_BXGU37_1391,population2,30.18508333,-85.68185
GUFL_BXGU38_502,population2,29.86469,-84.75328
GUFL_BXGU61_U57,population2,30.07847,-85.19425
GUFL_BXGU62_AA36,population2,29.881389,-84.728611
GUFL_BXGU63_AA37,population2,29.839758,-84.680905
GUFL_BXGU65_AA39,population2,29.75366,-84.842336
GUFL_BXGU66_AA40,population2,29.85,-84.68806
GULA_BX762,population2,32.7065255,-91.92624
GUMS_BX188,population2,31.154972,-89.180289
GUMS_BX190,population2,31.0576,-89.124697
GUMS_BX193,population2,31.141782,-89.151731
GUMS_BX200,population2,31.141782,-89.151731
GUMS_BX201,population2,31.141782,-89.151731
GUMS_BXGU15,population2,30.43165,-88.5381
GUMS_BXGU17,population2,30.43165,-88.5381
GUMS_BXGU18,population2,30.43165,-88.5381
GUMS_BXGU20,population2,30.43165,-88.5381
GUMS_BXGU21,population2,30.44011667,-88.54935
GUMS_BXGU22,population2,30.4437,-88.54961667
GUMS_BXGU23,population2,30.43165,-88.5381
GUMS_BXGU24,population2,30.43165,-88.5381
GUMS_BXGU30,population2,30.43165,-88.5381
GUMS_BXGU39_T34,population2,30.42408333,-88.51668333
GUMS_BXGU40_T46,population2,30.43165,-88.5381
GUMS_BXGU43_T55,population2,30.44011667,-88.54935
GUMS_BXGU44_T56,population2,32.55458,-85.64237
GUMS_BXGU45_T59,population2,30.43165,-88.5381
GUMS_BXGU46_T60,population2,30.42408333,-88.51668333
GUMS_BXGU47_T61,population2,30.43165,-88.5381
GUMS_BXGU48_T62,population2,30.43165,-88.5381
GUMS_BXGU49_T66,population2,30.44011667,-88.54935
GUMS_BXGU50_T69,population2,30.43165,-88.5381
GUMS_BXGU51_T70,population2,30.43165,-88.5381
GUMS_BXGU52_T71,population2,30.43165,-88.5381
GUMS_BXGU53_T72,population2,30.43165,-88.5381
GUMS_BXGU54_T73,population2,30.43165,-88.5381
GUMS_BXGU55_T78,population2,30.44076667,-88.55121667
GUMS_BXGU56_T83,population2,30.43165,-88.5381
GUMS_BXGU58_T92,population2,30.43808333,-88.54753333
GUMS_BXGU59_T93,population2,30.43165,-88.5381
GUMS_BXGU67_AA41,population2,30.375967,-88.710678
GUMS_BXGU68_AA42,population2,30.375647,-88.709519
GUMS_BXGU69_AA43,population2,30.375603,-88.712442
GUMS_BXGU70_AA44,population2,30.375686,-88.704872
GUMS_BXGU71_AA45,population2,30.3758,-88.717903
GUMS_BXGU72_AA46,population2,30.395532,-88.730886
GUMS_BXGU73_AA47,population2,30.355772,-88.709511
GUMS_BXGU74_AA48,population2,30.366172,-88.690522
GUMS_BXGU75_AA49,population2,30.355669,-88.689261
GUMS_BXGU76_AA50,population2,30.375656,-88.718719
GUMS_BXGU77_AA51,population2,30.375739,-88.705628
GUMS_BXGU78_AA52,population2,30.375358,-88.707733
GUMS_BXGU79_AA73,population2,30.400525,-88.754311
GUMS_BXGU80_AA54,population2,30.37497,-88.70755
TCAL_BX1614,population3,31.87691,-85.46003
TCAL_BX1616,population3,32.02789,-85.08691
TCAL_BX1618,population3,32.25502,-85.41647
TCAL_BX271,population3,32.54005,-85.5928
TCAL_BX272,population3,32.21021667,-86.55225
TCAL_BX273,population3,32.47766667,-85.79768333
TCAL_BX279,population3,32.51391667,-85.60963333
TCAL_BX280,population3,32.8746,-85.81071667
TCAL_BX281,population3,32.5733,-86.03441667
TCAL_BX282,population3,32.445,-85.81025
TCAL_BX283,population3,32.87911667,-85.82125
TCAL_BX289,population3,32.88053333,-85.84146667
TCAL_BX302,population3,32.88641667,-85.3797
TCAL_BX304,population3,32.60165,-85.5335
TCAL_BX305,population3,32.48983333,-86.33463333
TCAL_BX310,population3,32.84461667,-85.47958333
TCAL_BX326,population3,32.53771667,-85.50421667
TCAL_BX327,population3,32.68698333,-85.32061667
TCAL_BX329,population3,32.77008333,-85.25903333
TCAL_BX592,population3,32.25676667,-85.35403333
TCAL_BX612,population3,32.0095,-85.404
TCAL_BXTC01,population3,32.50428333,-85.61191667
TCAL_BXTC09,population3,32.44185,-86.41311667
TCAL_BXTC103,population3,32.82587,-87.6028
TCAL_BXTC104,population3,32.867369,-86.101247
TCAL_BXTC109,population3,31.58972,-86.73477
TCAL_BXTC11,population3,32.455264,-85.656212
TCAL_BXTC110,population3,31.28883,-87.18844
TCAL_BXTC111_U52,population3,32.08261,-85.68972
TCAL_BXTC12,population3,32.56744,-85.11946
TCAL_BXTC21,population3,32.54738333,-85.55405
TCAL_BXTC24,population3,32.53661,-85.95261667
TCAL_BXTC29,population3,32.57182,-85.53071
TCAL_BXTC33,population3,32.55458,-85.64237
TCAL_BXTC39,population3,34.6223,-86.2015
TCAL_BXTC45,population3,31.5015,-86.01311
TCAL_BXTC63,population3,30.84474,-88.39527
TCAL_BXTC65,population3,33.13544,-85.46499
TCAL_BXTC79,population3,32.1977,-85.49801
TCAL_BXTC80,population3,32.08261,-85.68972
TCAL_BXTC86,population3,34.610871,-86.577766
TCAL_BXTC90,population3,33.6702,-86.0462
TCAL_BXTC91,population3,33.11461667,-85.89191667
TCAL_BXTC92,population3,33.12643333,-85.85948333
TCAL_BXTC93,population3,33.2063,-85.82223333
TCAL_BXTC94,population3,33.78146667,-86.23528333
TCAL_BXTC97,population3,32.68525,-86.09665
TCAL_BXTC98,population3,32.6195,-86.15256667
TCAL_BXTC99,population3,33.12386667,-86.81341667
TCGA_BX276,population3,30.76391667,-83.99893333
TCGA_BX300,population3,32.62686667,-84.99683333
TCGA_BX343,population3,32.66485,-84.97628333
TCGA_BX344,population3,32.74323333,-84.9036
TCGA_BX345,population3,31.50943333,-84.5929
TCGA_BX589,population3,33.981873,-83.973613
TCGA_BXTC34,population3,34.77839,-84.39169
TCGA_BXTC35,population3,34.777547,-84.521539
TCGA_BXTC36,population3,34.49682,-84.49529
TCGA_BXTC46,population3,33.24983,-84.75597
TCMS_BXTC13,population3,30.6308,-88.57025
TCMS_BXTC14,population3,30.67231667,-88.48903333
TCMS_BXTC15,population3,30.6308,-88.57025
TCMS_BXTC16,population3,30.67231667,-88.48903333
TCMS_BXTC17,population3,30.43758333,-88.54675
TCMS_BXTC18,population3,30.6308,-88.57025
TCMS_BXTC84,population3,30.44011667,-88.54935
TTAR_BX507,population4,34.83473333,-92.49161667
TTAR_BX984,population4,34.83473333,-92.49153333
TTAR_BX987,population4,34.83473333,-92.49153333
TTKS_BXTT20_78,population4,37.58736667,-94.95838333
TTKS_BXTT23_132,population4,38.33791,-94.679344
TTLA_BX421,population4,31.2036,-92.5784
TTLA_BX422,population4,31.1811,-92.5562
TTLA_BX775,population4,31.518,-92.5254
TTLA_BXTT13,population4,31.1552,-92.5231
TTLA_BXTT34_1482,population4,31.247,-92.6409
TTLA_BXTT35_1486,population4,31.1387,-92.6377
TTLA_BXTT36_1491,population4,31.2058,-92.5836
TTLA_BXTT37_1492,population4,31.2058,-92.5836
TTLA_BXTT38_1493,population4,31.156,-92.5226
TTLA_BXTT39_1498,population4,31.1827,-92.5198
TTMO_BX109,population4,38.195851,-90.532427
TTMS_BX191,population4,31.206524,-89.066483
TTMS_BX192,population4,31.206524,-89.066483
TTMS_BX195,population4,31.206524,-89.066483
TTMS_BX196,population4,31.206524,-89.066483
TTMS_BX198,population4,31.320499,-89.31314
TTMS_BX199,population4,31.206524,-89.066483
TTMS_BX236,population4,32.364496,-90.842112
TTMS_BX238,population4,32.363238,-90.468576
TTMS_BX239,population4,32.363238,-90.468576
TTMS_BX240,population4,32.363238,-90.468576
TTMS_BX241,population4,32.363238,-90.468576
TTMS_BX242,population4,32.298753,-90.867901
TTMS_BX243,population1,32.287351,-90.708515
TTMS_BX465,population4,33.49092,-89.847872
TTMS_BX467,population4,33.78234,-90.03928
TTMS_BX471,population4,34.18005,-90.10847
TTMS_BXTT07,population4,31.191452,-89.253581
TTMS_BXTT08,population4,31.18734,-89.252208
TTTX_BX11,population4,32.2963333,-95.2086167
TTTX_BX15,population4,32.9483,-96.7299
TTTX_BX16,population4,32.3513,-95.3011
TTTX_BX19,population4,32.970248,-96.736378
TTTX_BX22,population4,33.035197,-97.117259
TTTX_BX222,population4,32.337329,-95.745505
TTTX_BX223,population4,32.344958,-95.266756
TTTX_BX224,population4,32.256436,-95.18686
TTTX_BX225,population4,32.344958,-95.266756
TTTX_BX227,population4,32.344958,-95.266756
TTTX_BX228,population4,32.344958,-95.266756
TTTX_BX23,population4,33.216173,-96.572299
